Participant,Features,CA1,CA2
1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.2388888888888889,0.2462962962962963
2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.16512059369202226,0.17407407407407408
3,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.19444444444444445,0.24489795918367346
4,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.18518518518518517,0.17777777777777778
5,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.2230769230769231,0.1685185185185185
6,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.037037037037037035,0.037037037037037035
7,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.21296296296296297,0.21481481481481482
8,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.20925925925925926,0.20185185185185187
9,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.15213358070500926,0.20074349442379183
10,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.26716141001855287,0.19330855018587362
11,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.05860113421550094,0.045098039215686274
12,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.09276437847866419,0.05938697318007663
13,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.02973977695167286,0.03710575139146568
14,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.08703703703703704,0.04814814814814815
15,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.04267161410018553,0.06851851851851852
16,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.055865921787709494,0.06902985074626866
17,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.07037037037037037,0.07421150278293136
18,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.06481481481481481,0.07547169811320754
19,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.2611111111111111,0.20925925925925926
