Participant,Test,Features,m_CA,StdDev_CA,,,,,,,,,,
1,1,"['MAV', 'WL', 'SSC', 'ZC']",0.827777778,0.039674602,,,,,,,,,,
1,2,"['MAV', 'WL', 'SSC', 'ZC']",0.914814815,0.023715275,,,,,,,,,,
2,1,"['MAV', 'WL', 'SSC', 'ZC']",0.743988391,0.059755639,,,,,,,,,,
2,2,"['MAV', 'WL', 'SSC', 'ZC']",0.794444444,0.016871173,,,,,,,,,,
3,1,"['MAV', 'WL', 'SSC', 'ZC']",0.785185185,0.031860464,,,,,,,,,,
3,2,"['MAV', 'WL', 'SSC', 'ZC']",0.744043671,0.031131944,,,,,,,,,,
4,1,"['MAV', 'WL', 'SSC', 'ZC']",0.883333333,0.006141898,,,,,,,,,,
4,2,"['MAV', 'WL', 'SSC', 'ZC']",0.831481481,0.05006854,,,,,,,,,,
5,1,"['MAV', 'WL', 'SSC', 'ZC']",0.915384615,0.013323468,,,,,,,,,,
5,2,"['MAV', 'WL', 'SSC', 'ZC']",0.909259259,0.027404905,,,,,,,,,,
6,1,"['MAV', 'WL', 'SSC', 'ZC']",0.794444444,0.030709489,,,,,,,,,,
6,2,"['MAV', 'WL', 'SSC', 'ZC']",0.822222222,0.005237828,,,,,,,,,,
7,1,"['MAV', 'WL', 'SSC', 'ZC']",0.77037037,0.027216553,,,,,,,,,,
7,2,"['MAV', 'WL', 'SSC', 'ZC']",0.874074074,0.036664796,,,,,,,,,,
8,1,"['MAV', 'WL', 'SSC', 'ZC']",0.862962963,0.025925926,,,,,,,,,,
8,2,"['MAV', 'WL', 'SSC', 'ZC']",0.711111111,0.028206567,,,,,,,,,,
9,1,"['MAV', 'WL', 'SSC', 'ZC']",0.877598121,0.026274888,,,,,,,,,,
9,2,"['MAV', 'WL', 'SSC', 'ZC']",0.79736042,0.04688159,,,,,,,,,,
10,1,"['MAV', 'WL', 'SSC', 'ZC']",0.888653952,0.010810459,,,,,,,,,,
10,2,"['MAV', 'WL', 'SSC', 'ZC']",0.842025981,0.025256357,,,,,,,,,,
