Participant,Test,Features,m_CA,StdDev_CA,,
1,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.774074074,0.012283796,,
1,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.892592593,0.016972503,,
2,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.730970149,0.032965327,,
2,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.798148148,0.016871173,,
3,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.851851852,0.050511784,,
3,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.801506357,0.042893162,,
4,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.87962963,0.009622504,,
4,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.766666667,0.049274573,,
5,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.925,0.046273882,,
5,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.912962963,0.016871173,,
6,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.827777778,0.034496178,,
6,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.727777778,0.016037507,,
7,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.716666667,0.02305537,,
7,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.812962963,0.041034296,,
8,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.785185185,0.04743055,,
8,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.744444444,0.011111111,,
9,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.810710337,0.021770109,,
9,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.845784964,0.029137948,,
10,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.862686567,0.032174181,,
10,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.847636816,0.020984626,,
11,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.801592048,0.045773267,,
11,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.747031865,0.022737471,,
12,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.742067441,0.03023765,,
12,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.858294187,0.015271205,,
13,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.771337756,0.053193066,,
13,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.699433389,0.047629138,,
14,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.853703704,0.019155705,,
14,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.674074074,0.023424279,,
15,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.723604201,0.017032621,,
15,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.716666667,0.057227915,,
16,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.817551133,0.036859253,,
16,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.774253731,0.012234027,,
17,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.690740741,0.035282516,,
17,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.623396904,0.017201475,,
18,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.709259259,0.03286711,,
18,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.760452267,0.050508085,,
19,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.9,0.026449735,,
19,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.822222222,0.025119741,0.789492566,0.029999369
1,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.894444444,0.038623433,,
1,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.97037037,0.011712139,,
2,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.840353787,0.042833324,,
2,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.85,0.006141898,,
3,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.935185185,0.010955703,,
3,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.868255943,0.017020748,,
4,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.933333333,0.009072184,,
4,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.885185185,0.016972503,,
5,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.946153846,0.021066252,,
5,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.946296296,0.024216105,,
6,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.905555556,0.040360175,,
6,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.840740741,0.019245009,,
7,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.840740741,0.021911407,,
7,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.892592593,0.028926851,,
8,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.896296296,0.037770515,,
8,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.851851852,0.030541523,,
9,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.914690437,0.030691072,,
9,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.908941404,0.018357566,,
10,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.923922056,0.016092236,,
10,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.921904367,0.008573206,,
11,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.888528139,0.024416697,,
11,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.862712229,0.00925361,,
12,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.879408513,0.025846702,,
12,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.921535526,0.023567407,,
13,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.87169707,0.031040934,,
13,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.81444168,0.025347088,,
14,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.903703704,0.01737191,,
14,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.772222222,0.05061352,,
15,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.821862908,0.030271826,,
15,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.807407407,0.056169448,,
16,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.895715865,0.009146028,,
16,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.858208955,0.020437409,,
17,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.809259259,0.014224344,,
17,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.764400221,0.04743113,,
18,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.831481481,0.035669186,,
18,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.828335042,0.033195668,,
19,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.940740741,0.015713484,,
19,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.881481481,0.021596118,0.87684097,0.024799904
1,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.92962963,0.032499868,,
1,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.951851852,0.016972503,,
2,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.862658928,0.026233485,,
2,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.883333333,0.021195413,,
3,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.927777778,0.016871173,,
3,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.884908789,0.022333054,,
4,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.942592593,0.009622504,,
4,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.912962963,0.026899702,,
5,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.946153846,0.028263343,,
5,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.951851852,0.018518519,,
6,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.940740741,0.022222222,,
6,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.898148148,0.013224867,,
7,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.85,0.02305537,,
7,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.888888889,0.020286021,,
8,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.916666667,0.038976973,,
8,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.872222222,0.042673032,,
9,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.909107242,0.02239128,,
9,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.923797678,0.016891809,,
10,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.925787728,0.018145947,,
10,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.940505804,0.009176205,,
11,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.91310663,0.027295904,,
11,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.900052288,0.016656766,,
12,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.894237148,0.009748067,,
12,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.93109219,0.015999666,,
13,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.901478718,0.026049344,,
13,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.851575456,0.045363447,,
14,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.912962963,0.026384827,,
14,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.788888889,0.02252875,,
15,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.842274737,0.028053653,,
15,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.838888889,0.038976973,,
16,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.916196794,0.013347428,,
16,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.895522388,0.017501551,,
17,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.835185185,0.026899702,,
17,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.794043671,0.038369758,,
18,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.846296296,0.021833011,,
18,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.856573251,0.025148855,,
19,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.942592593,0.027404905,,
19,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.918518519,0.015713484,0.895765086,0.023413931
1,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.937037037,0.024286809,,
1,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.948148148,0.025119741,,
2,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.888640133,0.044877444,,
2,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.87962963,0.010955703,,
3,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.938888889,0.019858899,,
3,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.910876175,0.024365959,,
4,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.918518519,0.035136418,,
4,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.914814815,0.0248452,,
5,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.957692308,0.017625291,,
5,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.953703704,0.014224344,,
6,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.946296296,0.019155705,,
6,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.912962963,0.003207501,,
7,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.881481481,0.01385799,,
7,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.914814815,0.011111111,,
8,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.927777778,0.047826561,,
8,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.903703704,0.04287347,,
9,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.905417358,0.028290025,,
9,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.92566335,0.013882961,,
10,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.940630182,0.015714651,,
10,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.934922609,0.009823635,,
11,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.914957849,0.015346782,,
11,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.917722687,0.022225858,,
12,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.894223328,0.01858455,,
12,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.942601292,0.020428853,,
13,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.910765616,0.022999465,,
13,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.883098397,0.040075244,,
14,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.924074074,0.024776089,,
14,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.807407407,0.021596118,,
15,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.85529298,0.034915789,,
15,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.857407407,0.029338851,,
16,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.918117745,0.017941659,,
16,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.910447761,0.011799544,,
17,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.851851852,0.020286021,,
17,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.842357656,0.039140932,,
18,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.862962963,0.040061681,,
18,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.873575985,0.008317854,,
19,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.938888889,0.021195413,,
19,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.925925926,0.023424279,0.907192098,0.023144589
1,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.957407407,0.017665541,,
1,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.959259259,0.019245009,,
2,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.905320619,0.036634934,,
2,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.896296296,0.028206567,,
3,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.931481481,0.016037507,,
3,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.920135434,0.034416136,,
4,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.938888889,0.026899702,,
4,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.92037037,0.021833011,,
5,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.959615385,0.019134374,,
5,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.961111111,0.014224344,,
6,1,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.944444444,0.013353894,,
6,2,"['RMS', 'LOGVAR', 'WL', 'WAMP', 'AR1', 'AR2']",0.927777778,0.010955703,,
