Participant,Test,Letter,Space_Count,Key_Count
1,1,A,12,20
1,1,B,13,20
1,1,C,14,20
1,1,D,12,20
1,1,E,12,20
1,1,F,11,20
1,1,G,12,20
1,1,H,12,20
1,1,I,12,20
1,1,J,11,20
1,1,K,10,20
1,1,L,11,20
1,1,M,12,20
1,1,N,11,20
1,1,O,12,20
1,1,P,10,20
1,1,Q,13,20
1,1,R,12,20
1,1,S,13,20
1,1,T,12,20
1,1,U,13,20
1,1,V,10,20
1,1,W,11,20
1,1,X,10,20
1,1,Y,12,20
1,1,Z,12,20
1,2,A,11,20
1,2,B,11,20
1,2,C,12,20
1,2,D,13,20
1,2,E,13,20
1,2,F,10,20
1,2,G,15,20
1,2,H,10,20
1,2,I,11,20
1,2,J,11,20
1,2,K,11,20
1,2,L,11,20
1,2,M,11,20
1,2,N,14,20
1,2,O,11,20
1,2,P,15,20
1,2,Q,12,20
1,2,R,13,20
1,2,S,10,20
1,2,T,13,20
1,2,U,15,20
1,2,V,12,20
1,2,W,12,20
1,2,X,12,20
1,2,Y,12,20
1,2,Z,13,20
2,1,A,10,20
2,1,B,10,20
2,1,C,9,20
2,1,D,10,20
2,1,E,10,20
2,1,F,10,20
2,1,G,10,20
2,1,H,10,20
2,1,I,10,20
2,1,J,11,20
2,1,K,10,20
2,1,L,10,20
2,1,M,10,20
2,1,N,10,20
2,1,O,10,20
2,1,P,10,20
2,1,Q,11,19
2,1,R,10,20
2,1,S,10,20
2,1,T,10,20
2,1,U,10,20
2,1,V,10,20
2,1,W,10,20
2,1,X,10,20
2,1,Y,10,20
2,1,Z,10,20
2,2,A,10,20
2,2,B,10,20
2,2,C,10,20
2,2,D,10,20
2,2,E,10,20
2,2,F,10,20
2,2,G,10,20
2,2,H,10,20
2,2,I,10,20
2,2,J,10,20
2,2,K,10,20
2,2,L,10,20
2,2,M,10,20
2,2,N,10,20
2,2,O,10,20
2,2,P,10,20
2,2,Q,10,20
2,2,R,10,20
2,2,S,10,20
2,2,T,10,20
2,2,U,10,20
2,2,V,10,20
2,2,W,10,20
2,2,X,10,20
2,2,Y,10,20
2,2,Z,10,20
3,1,A,10,20
3,1,B,10,20
3,1,C,10,20
3,1,D,10,20
3,1,E,10,20
3,1,F,10,20
3,1,G,10,20
3,1,H,10,20
3,1,I,10,20
3,1,J,10,20
3,1,K,10,20
3,1,L,10,20
3,1,M,10,20
3,1,N,10,20
3,1,O,10,20
3,1,P,10,20
3,1,Q,10,20
3,1,R,10,20
3,1,S,10,20
3,1,T,10,20
3,1,U,10,20
3,1,V,10,20
3,1,W,10,20
3,1,X,10,20
3,1,Y,10,20
3,1,Z,10,20
3,2,A,10,20
3,2,B,10,20
3,2,C,10,20
3,2,D,10,20
3,2,E,10,20
3,2,F,10,20
3,2,G,10,20
3,2,H,10,20
3,2,I,10,20
3,2,J,10,20
3,2,K,10,20
3,2,L,10,20
3,2,M,10,20
3,2,N,10,20
3,2,O,10,20
3,2,P,10,20
3,2,Q,10,20
3,2,R,10,20
3,2,S,10,20
3,2,T,10,20
3,2,U,10,20
3,2,V,10,20
3,2,W,10,20
3,2,X,10,20
3,2,Y,10,19
