Filename,Lag,Error
A_220921_094807,-0.6435,0.099
A_220921_094823,-0.182,0.124
B_220921_094937,-0.5035,0.039
B_220921_094952,-0.8695,0.082
C_220921_094321,-0.1905,0.0565
C_220921_094338,-0.921,0.07
D_220921_095657,-0.2995,0.2175
D_220921_095713,-0.888,0.0615
E_220921_095252,-0.654,0.0665
E_220921_095236,-0.7615,0.0635
F_220921_095500,-0.341,0.324
F_220921_095445,-0.6615,0.116
G_220921_100004,-0.669,0.0575
G_220921_095949,-0.4615,0.0755
H_220921_094408,-0.232,0.4115
H_220921_094427,-0.5445,0.0345
I_220921_095528,-0.891,0.112
I_220921_095544,-0.856,0.053
J_220921_095320,-0.777,0.0555
J_220921_095336,-0.1945,0.058
K_220921_095038,-0.7035,0.1085
K_220921_095021,-0.6725,0.0865
L_220921_094654,-0.0915,0.0465
L_220921_094638,-0.0555,0.064
M_220921_094113,-0.388,0.049
M_220921_094041,-0.2295,0.05
N_220921_094458,-0.1745,0.024
N_220921_094516,-0.431,0.031
O_220921_095615,-0.8055,0.0855
O_220921_095631,-0.7575,0.092
P_220921_095124,-0.7585,0.159
P_220921_095109,-0.583,0.0995
Q_220921_094609,-0.2185,0.284
Q_220921_094551,-0.272,0.42
R_220921_095419,-0.369,0.059
R_220921_095404,-0.319,0.0555
S_220921_094230,-0.4185,0.0775
S_220921_094249,-0.866,0.2035
T_220921_095925,-0.417,0.053
T_220921_095910,-0.4525,0.0725
U_220921_094724,-0.2745,0.08
U_220921_094740,-0.9455,0.1755
V_220921_094202,-0.9415,0.0565
V_220921_094145,-0.333,0.056
W_220921_095800,-0.2245,0.1175
W_220921_095743,-0.321,0.0845
X_220921_095209,-0.687,0.0925
X_220921_095154,-0.2195,0.082
Y_220921_094908,-0.939,0.092
Y_220921_094852,-0.37,0.0625
Z_220921_095843,-0.9085,0.0825
Z_220921_095829,-0.307,0.131
