Filename,Lag,Error
A_221103_162959,-0.589,0.1245
A_221103_162941,-0.4935,0.194
B_221103_163544,-0.1065,0.3065
B_221103_163603,-0.355,0.1115
C_221103_164351,-0.246,0.084
C_221103_164336,-0.256,0.0935
D_221103_163414,-0.615,0.1545
D_221103_163358,-0.972,0.1045
E_221103_165511,-0.895,0.0865
E_221103_165526,-0.9015,0.134
F_221103_165129,-0.9915,0.786
F_221103_165114,-0.203,0.1495
G_221103_164637,-0.546,0.1055
G_221103_164652,-0.689,0.141
H_221103_163332,-0.832,0.1115
H_221103_163307,-0.381,0.1195
I_221103_165350,-0.102,0.082
I_221103_165316,-0.5525,0.0905
J_221103_164945,-0.406,0.179
J_221103_165001,-0.3795,0.118
K_221103_164524,-0.407,0.1145
K_221103_164508,-0.766,0.141
L_221103_163029,-0.242,0.1035
L_221103_163046,-0.2925,0.412
M_221103_165028,-0.345,0.574
M_221103_165048,-0.7275,0.1695
N_221103_164735,-0.244,0.159
N_221103_164916,-0.616,0.168
O_221103_165210,-0.317,0.094
O_221103_165156,-0.2505,0.0935
P_221103_164437,-0.8865,0.0565
P_221103_164418,-0.457,0.236
Q_221103_163154,-0.0595,0.1645
Q_221103_163138,-0.393,0.173
R_221103_165432,-0.6245,0.048
R_221103_165416,-0.433,0.0555
S_221103_163838,-0.9295,0.1075
S_221103_163823,-0.4225,0.118
T_221103_164308,-0.7695,0.101
T_221103_164249,-0.4395,0.118
U_221103_164609,-0.379,0.2575
U_221103_164553,-0.44,0.0945
V_221103_165252,-0.168,0.107
V_221103_165237,-0.7665,0.1515
W_221103_163736,-0.8735,0.109
W_221103_163755,-0.231,0.102
X_221103_163651,-0.733,0.085
X_221103_163635,-0.3085,0.0935
Y_221103_164141,-0.8945,0.123
Y_221103_164021,-0.8215,0.1405
Z_221103_163512,-0.8535,0.116
Z_221103_163452,-0.412,0.098
